event_id,observed_at,txid,input_wallet,output_wallet,amount_sats,fee_sats,script_type,src_ip,src_port,dst_ip,dst_port,latency_ms,peer_count_hint,event_sequence
syn_evt_000000000001_00000000000026d9,2026-07-01T00:01:16.000Z,syn_tx_00000000000000000000000000000001,syn_w_000000000000079f,syn_w_0000000000001472,787458,993,P2WSH,198.18.0.7,16726,198.18.0.17,8333,274,18,1
syn_evt_000000000002_00000000000045c8,2026-07-01T00:02:00.000Z,syn_tx_00000000000000000000000000000002,syn_w_0000000000001aeb,syn_w_00000000000024a4,200499,53,P2WPKH,198.18.0.14,25724,198.18.0.34,8333,180,4,2
syn_evt_000000000003_00000000000064b7,2026-07-01T00:02:14.000Z,syn_tx_00000000000000000000000000000003,syn_w_0000000000000646,syn_w_0000000000001cc7,362843,196,P2PKH,198.18.0.21,54524,198.18.0.51,8333,173,24,3
syn_evt_000000000004_00000000000083a6,2026-07-01T00:03:30.000Z,syn_tx_00000000000000000000000000000004,syn_w_00000000000016d3,syn_w_0000000000001816,70324,42,P2SH,198.18.0.28,15876,198.18.0.68,8333,191,39,4
syn_evt_000000000005_000000000000a295,2026-07-01T00:04:02.000Z,syn_tx_00000000000000000000000000000005,syn_w_0000000000000904,syn_w_0000000000002944,942554,780,P2SH,198.18.0.35,33825,198.18.0.85,8333,345,33,5
syn_evt_000000000006_000000000000c184,2026-07-01T00:04:59.000Z,syn_tx_00000000000000000000000000000006,syn_w_000000000000257c,syn_w_000000000000237c,403196,432,P2SH,198.18.0.42,59161,198.18.0.102,8333,238,35,6
syn_evt_000000000007_000000000000e073,2026-07-01T00:05:42.000Z,syn_tx_00000000000000000000000000000007,syn_w_0000000000001ae0,syn_w_0000000000002418,32771,53,P2WPKH,198.18.0.49,47717,198.18.0.119,8333,304,18,7
syn_evt_000000000008_000000000000ff62,2026-07-01T00:06:03.000Z,syn_tx_00000000000000000000000000000008,syn_w_0000000000002d19,syn_w_000000000000217c,160159,273,P2WSH,198.18.0.56,19333,198.18.0.136,8333,211,34,8
syn_evt_000000000009_0000000000011e51,2026-07-01T00:07:11.000Z,syn_tx_00000000000000000000000000000009,syn_w_00000000000007cf,syn_w_000000000000281b,96276,130,P2WPKH,198.18.0.63,45758,198.18.0.153,8333,172,20,9
syn_evt_00000000000a_0000000000013d40,2026-07-01T00:07:58.000Z,syn_tx_0000000000000000000000000000000a,syn_w_00000000000013b0,syn_w_0000000000002314,111664,186,P2PKH,198.18.0.70,36342,198.18.0.170,8333,140,31,10
