event_id,observed_at,txid,input_wallet,output_wallet,amount_sats,fee_sats,script_type,src_ip,src_port,dst_ip,dst_port,latency_ms,peer_count_hint,event_sequence
syn_evt_000000,2026-07-26T00:00:00.000Z,tx_0000,syn_w_0062,syn_w_0067,222870,2339,p2pkh,198.18.192.191,54641,198.18.59.109,8333,35,30,1
syn_evt_000001,2026-07-26T00:00:01.000Z,tx_0000,syn_w_0067,syn_w_0087,3612148,4350,p2pkh,198.18.215.201,32619,198.18.236.109,8333,127,11,2
syn_evt_000002,2026-07-26T00:00:02.000Z,tx_0000,syn_w_0081,syn_w_0091,3947663,4969,p2sh,198.18.178.251,37710,198.18.188.94,8333,215,29,3
syn_evt_000003,2026-07-26T00:00:03.000Z,tx_0000,syn_w_0040,syn_w_0072,4220239,4423,p2sh,198.18.255.223,29405,198.18.234.37,8333,113,17,4
syn_evt_000004,2026-07-26T00:00:04.000Z,tx_0000,syn_w_0035,syn_w_0002,3853890,4783,p2sh,198.18.52.227,24612,198.18.225.62,8333,112,16,5
syn_evt_000005,2026-07-26T00:00:05.000Z,tx_0001,syn_w_0089,syn_w_0063,4180456,4057,p2wpkh,198.18.178.251,44533,198.18.39.186,8333,27,17,6
syn_evt_000006,2026-07-26T00:00:06.000Z,tx_0001,syn_w_0041,syn_w_0060,835220,4091,p2wpkh,198.18.215.145,47981,198.18.255.223,8333,411,24,7
syn_evt_000007,2026-07-26T00:00:07.000Z,tx_0001,syn_w_0034,syn_w_0059,3581672,4425,p2pkh,198.18.215.145,43527,198.18.225.62,8333,146,23,8
syn_evt_000008,2026-07-26T00:00:08.000Z,tx_0001,syn_w_0048,syn_w_0013,3460325,1698,p2sh,198.18.1.158,61086,198.18.46.103,8333,17,10,9
syn_evt_000009,2026-07-26T00:00:09.000Z,tx_0001,syn_w_0001,syn_w_0059,706804,2128,p2pkh,198.18.174.23,8941,198.18.39.186,8333,327,9,10
syn_evt_000010,2026-07-26T00:00:10.000Z,tx_0002,syn_w_0097,syn_w_0070,3006835,1767,p2pkh,198.18.147.210,21565,198.18.188.94,8333,350,26,11
syn_evt_000011,2026-07-26T00:00:11.000Z,tx_0002,syn_w_0074,syn_w_0100,4137102,1604,p2wpkh,198.18.215.145,15633,198.18.251.102,8333,252,26,12
syn_evt_000012,2026-07-26T00:00:12.000Z,tx_0002,syn_w_0017,syn_w_0078,4243909,2881,p2pkh,198.18.132.217,28403,198.18.188.94,8333,352,13,13
syn_evt_000013,2026-07-26T00:00:13.000Z,tx_0002,syn_w_0018,syn_w_0077,3466434,3698,p2pkh,198.18.50.116,35104,198.18.39.186,8333,423,14,14
syn_evt_000014,2026-07-26T00:00:14.000Z,tx_0002,syn_w_0049,syn_w_0002,626003,920,p2sh,198.18.215.201,43378,198.18.203.65,8333,190,32,15
syn_evt_000015,2026-07-26T00:00:15.000Z,tx_0003,syn_w_0004,syn_w_0005,2759450,2987,p2sh,198.18.192.191,22391,198.18.182.207,8333,72,23,16
syn_evt_000016,2026-07-26T00:00:16.000Z,tx_0003,syn_w_0060,syn_w_0075,1442217,1760,p2wpkh,198.18.149.74,35077,198.18.59.109,8333,115,21,17
syn_evt_000017,2026-07-26T00:00:17.000Z,tx_0003,syn_w_0080,syn_w_0044,1967284,1069,p2wpkh,198.18.178.251,27183,198.18.234.37,8333,27,14,18
syn_evt_000018,2026-07-26T00:00:18.000Z,tx_0003,syn_w_0083,syn_w_0023,4579832,894,p2sh,198.18.52.227,57915,198.18.158.7,8333,396,28,19
syn_evt_000019,2026-07-26T00:00:19.000Z,tx_0003,syn_w_0025,syn_w_0063,181713,1557,p2wpkh,198.18.188.94,35753,198.18.158.7,8333,121,24,20
