event_id,entity_type,entity_id,window_end,is_anomalous,scenario_id,severity_truth
syn_evt_00000000e291_000000001b608b49,wallet,syn_w_0000000000000000,2026-07-05T00:00:00.000Z,1,STRUCTURING,high
syn_evt_00000000e292_000000001b60aa38,wallet,syn_w_0000000000000000,2026-07-05T00:01:12.000Z,1,STRUCTURING,high
syn_evt_00000000e293_000000001b60c927,wallet,syn_w_0000000000000000,2026-07-05T00:02:24.000Z,1,STRUCTURING,high
syn_evt_00000000e294_000000001b60e816,wallet,syn_w_0000000000000000,2026-07-05T00:03:36.000Z,1,STRUCTURING,high
syn_evt_00000000e295_000000001b610705,wallet,syn_w_0000000000000000,2026-07-05T00:04:48.000Z,1,STRUCTURING,high
syn_evt_00000000e296_000000001b6125f4,wallet,syn_w_0000000000000000,2026-07-05T00:06:00.000Z,1,STRUCTURING,high
syn_evt_00000000e297_000000001b6144e3,wallet,syn_w_0000000000000000,2026-07-05T00:07:12.000Z,1,STRUCTURING,high
syn_evt_00000000e298_000000001b6163d2,wallet,syn_w_0000000000000000,2026-07-05T00:08:24.000Z,1,STRUCTURING,high
syn_evt_00000000e299_000000001b6182c1,wallet,syn_w_0000000000000000,2026-07-05T00:09:36.000Z,1,STRUCTURING,high
syn_evt_00000000e29a_000000001b61a1b0,wallet,syn_w_0000000000000000,2026-07-05T00:10:48.000Z,1,STRUCTURING,high
syn_evt_00000000e29b_000000001b61c09f,wallet,syn_w_0000000000000000,2026-07-05T00:12:00.000Z,1,STRUCTURING,high
syn_evt_00000000e29c_000000001b61df8e,wallet,syn_w_0000000000000000,2026-07-05T00:13:12.000Z,1,STRUCTURING,high
syn_evt_00000000e29d_000000001b61fe7d,wallet,syn_w_0000000000000000,2026-07-05T00:14:24.000Z,1,STRUCTURING,high
syn_evt_00000000e29e_000000001b621d6c,wallet,syn_w_0000000000000000,2026-07-05T00:15:36.000Z,1,STRUCTURING,high
syn_evt_00000000e29f_000000001b623c5b,wallet,syn_w_0000000000000000,2026-07-05T00:16:48.000Z,1,STRUCTURING,high
syn_evt_00000000e2a0_000000001b625b4a,wallet,syn_w_0000000000000000,2026-07-05T00:18:00.000Z,1,STRUCTURING,high
syn_evt_00000000e2a1_000000001b627a39,wallet,syn_w_0000000000000000,2026-07-05T00:19:12.000Z,1,STRUCTURING,high
syn_evt_00000000e2a2_000000001b629928,wallet,syn_w_0000000000000000,2026-07-05T00:20:24.000Z,1,STRUCTURING,high
syn_evt_00000000e2a3_000000001b62b817,wallet,syn_w_0000000000000000,2026-07-05T00:21:36.000Z,1,STRUCTURING,high
